paperID,total_accuracy,A.Level.Name,D.Item,D.Type,D.Amount,D.Unit.Amount,DC.Is.Dry,D.Ad.lib
BO1006,28.57,0.0,100.0,0.0,100.0,0.0,0.0,0.0
EM1019,28.57,0.0,100.0,0.0,100.0,0.0,0.0,0.0
EM1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EM1050,33.33,0.0,66.67,66.67,100.0,0.0,0.0,0.0
EM1052,37.5,100.0,25.0,37.5,100.0,0.0,0.0,0.0
EM1060,34.92,0.0,55.56,100.0,88.89,0.0,0.0,0.0
EM1061,42.86,100.0,42.86,57.14,100.0,0.0,0.0,0.0
HK0028,51.19,0.0,75.0,58.33,75.0,75.0,75.0,0.0
JO1044,47.96,0.0,64.29,71.43,0.0,0.0,100.0,100.0
JO1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JO1061,38.78,0.0,100.0,100.0,71.43,0.0,0.0,0.0
JO1068,36.16,28.12,71.88,75.0,78.12,0.0,0.0,0.0
JS0124,11.11,0.0,22.22,0.0,55.56,0.0,0.0,0.0
JS0309,50.0,0.0,75.0,75.0,100.0,100.0,0.0,0.0
JS0341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JS0374,38.35,0.0,68.42,0.0,0.0,0.0,100.0,100.0
LM0320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LM0336,34.92,100.0,22.22,22.22,100.0,0.0,0.0,0.0
Total,37.7,25.81,61.29,52.26,67.74,8.39,27.1,21.29
