"","D.Item.AOM","D.Item.Root.Comp.Proc_Major_low","D.Item","B.Code","A.Level.Name","Time","D.Type","D.Item.Group","D.Source","D.Process.Mech","D.Process.Chem","D.Process.Bio","D.Process.Therm","D.Process.Dehy","D.Process.Other","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Day.Start","D.Day.End","D.Notes","row_index","D.ItemxProcess","D.ItemxProcess_original","is_entire_diet","is_group","D.Item.Proc_Major","D.Item.Proc_All","D.Item.Root.Comp.Proc_Major","D.Item.Root.Other.Comp.Proc_All","D.Item.Root.Comp","D.Item.Comp","AOM.Terms","AOM.Scientific.Name","D.Item.Is.Tree"
"1","AOM_000648","maize","Maize Yellow","0","CFM without MSK","99999","Crop Product","concentrate 1",NA,NA,NA,NA,NA,NA,NA,39,"%","day","individual",NA,NA,NA,NA,NA,1,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"2","AOM_000648","maize","Maize Yellow","0","CFM (5)","99999","Crop Product","concentrate",NA,NA,NA,NA,NA,NA,NA,35,"%","day","individual",NA,NA,NA,NA,NA,2,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"3","AOM_000648","maize","Maize Yellow","0","CFM (10)","99999","Crop Product","concentrate",NA,NA,NA,NA,NA,NA,NA,33,"%","day","individual",NA,NA,NA,NA,NA,3,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"4","AOM_000648","maize","Maize Yellow","0","CFM (20)","99999","Crop Product","concentrate",NA,NA,NA,NA,NA,NA,NA,24,"%","day","individual",NA,NA,NA,NA,NA,4,"Maize Yellow","Maize Yellow",FALSE,FALSE,"","","Maize","Maize","Maize",NA,"Crop Product/Cereal Products/Maize","Zea mays",FALSE
"5","AOM_000585","wheat bran","Wheat Bran","0","CFM without MSK","99999","Crop Byproduct","concentrate",NA,NA,NA,NA,NA,NA,NA,25,"%","day","individual",NA,NA,NA,NA,NA,6,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"6","AOM_000585","wheat bran","Wheat Bran","0","CFM (5)","99999","Crop Byproduct","concentrate",NA,NA,NA,NA,NA,NA,NA,23,"%","day","individual",NA,NA,NA,NA,NA,7,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"7","AOM_000585","wheat bran","Wheat Bran","0","CFM (10)","99999","Crop Byproduct","concentrate",NA,NA,NA,NA,NA,NA,NA,19,"%","day","individual",NA,NA,NA,NA,NA,8,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"8","AOM_000585","wheat bran","Wheat Bran","0","CFM (20)","99999","Crop Byproduct","concentrate",NA,NA,NA,NA,NA,NA,NA,18,"%","day","individual",NA,NA,NA,NA,NA,9,"Wheat Bran","Wheat Bran",FALSE,FALSE,"","","Wheat Bran","Wheat Bran","Wheat Bran","Bran","Crop Byproduct/Cereal ByProducts/Wheat/Wheat Bran","Triticum aestivum",FALSE
"9","AOM_001643","cotton seed ground","Uncorticated Cotton Seed","0","CFM without MSK","99999","Crop Byproduct","concentrate",NA,"Ground",NA,NA,NA,NA,NA,17,"%","day","individual",NA,NA,NA,NA,NA,10,"Uncorticated Cotton Seed||Grinding","Uncorticated Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"10","AOM_001643","cotton seed ground","Uncorticated Cotton Seed","0","CFM (5)","99999","Crop Byproduct","concentrate",NA,"Ground",NA,NA,NA,NA,NA,18,"%","day","individual",NA,NA,NA,NA,NA,11,"Uncorticated Cotton Seed||Grinding","Uncorticated Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
